en,default,description,file,hash
"User ""%s"" not found","Benutzer „%s“ nicht gefunden",,site/modules/ProcessCronJobs/CronJob.php,6c68882834b9caec24286c3716ee8de7
Auto,=,,site/modules/ProcessCronJobs/CronJob.php,06b9281e396db002010bde1de57262eb
Lazy,=,,site/modules/ProcessCronJobs/CronJob.php,46a9ebdb80117bfa1f0cdea65438290a
Manual,=,,site/modules/ProcessCronJobs/CronJob.php,e1ba155a9f2e8c3be94020eef32a0301
Error,Fehler,,site/modules/ProcessCronJobs/CronJob.php,902b0d55fddef6f8d651fe1035b7d4bd
onInit,=,,site/modules/ProcessCronJobs/CronJob.php,af0fbe6e58135627977419525f3d65d7
onReady,=,,site/modules/ProcessCronJobs/CronJob.php,f6920b88f5f0e9a510ce138b060d13bc
"CronError in ""%1$s"": %2$s",=,,site/modules/ProcessCronJobs/CronJob.php,1697caa28364342a2f3cc4afb798acbf
Unknown,Unbekannt,,site/modules/ProcessCronJobs/CronJob.php,88183b946cc5f0e8c96b2e66e1c74a7e
"Cron command",=,,site/modules/ProcessCronJobs/ProcessCronJobsConfig.php,ea51a40d600dea13343db48182daf1f9
"Add this line to your cron configuration.","Füge diese Zeile zu deiner Cron-Konfiguration hinzu.",,site/modules/ProcessCronJobs/ProcessCronJobsConfig.php,bb761cfb7b13ad1ed1644371c1864db6
"Trigger path","Trigger Pfad",,site/modules/ProcessCronJobs/ProcessCronJobsConfig.php,8569c4d65d2ef9a94695d7585f6b89b2
"The path to be called by the cronjob.","Der Pfad, der vom Cronjob aufgerufen werden soll.",,site/modules/ProcessCronJobs/ProcessCronJobsConfig.php,1041d41481b1b297eb7f815a91489366
"Set to `cron/` for a cron url like this: `https://example.come/cron/`","Auf `cron/` setzen für eine Cron-URL wie diese: `https://example.come/cron/`",,site/modules/ProcessCronJobs/ProcessCronJobsConfig.php,ad830f8bc9fba6062c3996b2bac35afd
"Secret segment","Geheimes Segment",,site/modules/ProcessCronJobs/ProcessCronJobsConfig.php,cb159d8dcc13e3415c9a9208d97448c1
"You can add a secret path segment to better protect your Cron calls.","Um Cron-Aufrufe besser zu schützen, kann ein geheimes Pfadsegment angefügt werden.",,site/modules/ProcessCronJobs/ProcessCronJobsConfig.php,45ff3a1aa5404fab45fd0181d7ebba40
